date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:41:23	625390/625390	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202026%2020:52:29%20GMT	https://www.patlive.com/	C:/My%20Web%20Sites/Natalia's%20Work/www.patlive.com/index.html	(from )
20:41:24	126/126	---M-Z	200	added ('OK')	text/plain	date:Thu,%2020%20Aug%202026%2000:41:24%20GMT	https://www.patlive.com/robots.txt		(from )
20:41:26	244857/244857	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Aug%202026%2000:41:26%20GMT	https://www.patlive.com/i	C:/My%20Web%20Sites/Natalia's%20Work/www.patlive.com/i	(from https://www.patlive.com/)
20:41:27	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2020%20Aug%202026%2000:41:27%20GMT	https://www.patlive.com/xmlrpc.php	C:/My%20Web%20Sites/Natalia's%20Work/www.patlive.com/xmlrpc.php	(from https://www.patlive.com/)
20:41:27	58595/58595	---M-Z	200	added ('OK')	image/jpeg	date:Mon,%2010%20Aug%202026%2014:55:34%20GMT	https://www.patlive.com/wp-content/uploads/2026/05/results-bg-scaled.jpg	C:/My%20Web%20Sites/Natalia's%20Work/www.patlive.com/wp-content/uploads/2026/05/results-bg-scaled.jpg	(from https://www.patlive.com/)
20:41:27	77125/77125	---MCZ	200	added ('OK')	image/png	date:Mon,%2010%20Aug%202026%2013:51:39%20GMT	https://www.patlive.com/wp-content/uploads/2026/08/static-fallback.png	C:/My%20Web%20Sites/Natalia's%20Work/www.patlive.com/wp-content/uploads/2026/08/static-fallback.png	(from https://www.patlive.com/)
20:41:28	2396/2396	---M-Z	200	added ('OK')	application/json	date:Thu,%2020%20Aug%202026%2000:41:28%20GMT	https://www.patlive.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.patlive.com%2F	C:/My%20Web%20Sites/Natalia's%20Work/www.patlive.com/wp-json/oembed/1.0/embed8bbf.json	(from https://www.patlive.com/)
20:41:28	244857/244857	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Aug%202026%2000:41:28%20GMT	https://www.patlive.com/Firefox/	C:/My%20Web%20Sites/Natalia's%20Work/www.patlive.com/Firefox/index.html	(from https://www.patlive.com/)
20:41:28	711/711	---M-Z	200	added ('OK')	application/rss+xml	etag:%22d368f1aab7a71920e1ffc73d8b0fdd39-gzip%22	https://www.patlive.com/comments/feed/	C:/My%20Web%20Sites/Natalia's%20Work/www.patlive.com/comments/feed/index.html	(from https://www.patlive.com/)
20:41:29	2563/2563	---M-Z	200	added ('OK')	text/xml	date:Thu,%2020%20Aug%202026%2000:41:29%20GMT	https://www.patlive.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.patlive.com%2F&format=xml	C:/My%20Web%20Sites/Natalia's%20Work/www.patlive.com/wp-json/oembed/1.0/embed792a	(from https://www.patlive.com/)
20:41:29	87553/87553	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2028%20Aug%202023%2017:14:23%20GMT	https://www.patlive.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/Natalia's%20Work/www.patlive.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.patlive.com/)
20:41:29	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2009%20Jun%202023%2005:49:24%20GMT	https://www.patlive.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/Natalia's%20Work/www.patlive.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.patlive.com/)
20:41:29	15073/15073	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2007%20Aug%202026%2012:07:28%20GMT	https://www.patlive.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=6.7.2	C:/My%20Web%20Sites/Natalia's%20Work/www.patlive.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.mind1c0.js	(from https://www.patlive.com/)
20:41:30	344983/344983	---MCZ	200	added ('OK')	application/rss+xml	etag:%22d368f1aab7a71920e1ffc73d8b0fdd39-gzip%22	https://www.patlive.com/feed/	C:/My%20Web%20Sites/Natalia's%20Work/www.patlive.com/feed/index.html	(from https://www.patlive.com/)
20:41:30	132466/132466	---M-Z	200	added ('OK')	application/json	date:Thu,%2020%20Aug%202026%2000:41:30%20GMT	https://www.patlive.com/wp-json/wp/v2/pages/33367	C:/My%20Web%20Sites/Natalia's%20Work/www.patlive.com/wp-json/wp/v2/pages/33367.json	(from https://www.patlive.com/)
20:41:30	502406/502406	---M-Z	200	added ('OK')	application/json	date:Thu,%2020%20Aug%202026%2000:41:30%20GMT	https://www.patlive.com/wp-json/	C:/My%20Web%20Sites/Natalia's%20Work/www.patlive.com/wp-json/index.html	(from https://www.patlive.com/)
